timing_lns_scenario,instance_name,customer_count,vehicle_capacity,random_regret_total_lns_system_distance,random_regret_system_improvement_percent,random_regret_n_remove,random_regret_rejected_infeasible_moves,random_regret_timing_feasible,related_regret_total_lns_system_distance,related_regret_system_improvement_percent,related_regret_n_remove,related_regret_rejected_infeasible_moves,related_regret_timing_feasible,winning_operator_pair_by_system_distance,related_minus_random_system_distance,related_minus_random_system_distance_pct_of_random,notes_or_warnings
wave_speed30_14wave_split,20c_cap25,20,25,117.69443988245759,3.7168693182584653,2,0,True,117.69443988245759,3.7168693182584653,2,0,True,tie,0.0,0.0,
wave_speed30_14wave_split,20c_cap35,20,35,117.69443988245759,3.7168693182584653,2,0,True,117.69443988245759,3.7168693182584653,2,0,True,tie,0.0,0.0,
wave_speed30_14wave_split,40c_cap15,40,15,446.03980625415386,3.4619644335025463,3,0,True,446.03980625415386,3.4619644335025463,2,0,True,tie,0.0,0.0,
wave_speed30_14wave_split,40c_cap25,40,25,327.20526874744905,7.175156002886625,5,0,True,328.45124594371805,6.821684803262087,4,0,True,random_regret,1.2459771962689956,0.38079374486805523,
wave_speed30_14wave_split,40c_cap35,40,35,315.25859087837415,9.859220825962886,5,0,True,315.2526072561921,9.860931701990943,4,0,True,related_regret,-0.005983622182043291,-0.0018980044811377575,
wave_speed30_14wave_split,60c_cap15,60,15,929.3666802864236,3.848229209902524,4,0,True,931.5036895440435,3.6271353955087746,4,0,True,random_regret,2.137009257619866,0.22994252999916634,
wave_speed30_14wave_split,60c_cap25,60,25,697.6128575068293,5.011357015250764,3,0,True,701.8683147696075,4.431923728835248,5,0,True,random_regret,4.255457262778236,0.6100026994896058,
wave_speed30_14wave_split,60c_cap35,60,35,597.498061908772,5.4117965016573875,7,0,True,597.8607741259917,5.354376571450229,5,0,True,random_regret,0.36271221721972324,0.06070517050063727,
wave_speed30_14wave_split,80c_cap15,80,15,1438.1905543030598,4.614428237886767,5,0,True,1465.8179103282794,2.782090274842599,2,0,True,random_regret,27.62735602521957,1.9209802166033314,
wave_speed30_14wave_split,80c_cap25,80,25,1079.5564172239456,6.038100496407512,9,0,True,1079.5564172239456,6.038100496407512,5,0,True,tie,0.0,0.0,
